id,company_code,plant_code,hari_giling,tgl_giling,thn_giling,KIS,KIS SD,KIS INCLUSIF,KIS INCLUSIF SD,KES,KES SD,HA TEBANG TR,HA TEBANG TS,HA TEBANG KSO,HA TEBANG SPT,HA TEBANG TOTAL,TON TEBANG TR,TON TEBANG TS,TON TEBANG KSO,TON TEBANG SPT,TON TEBANG TOTAL,HA GILING TR,HA GILING TS,HA GILING KSO,HA GILING SPT,HA GILING TOTAL,TON GILING TR,TON GILING TS,TON GILING KSO,TON GILING SPT,TON GILING TOTAL,KRISTAL TR,KRISTAL TS,KRISTAL KSO,KRISTAL SPT,KRISTAL TOTAL,RENDEMEN TR,RENDEMEN TS,RENDEMEN KSO,RENDEMEN SPT,RENDEMEN TOTAL,GULA MILIK PG,GULA MILIK PETANI,GULA MILIK KSO,GULA PRODUKSI,TETES MILIK PG,TETES MILIK KSO,TETES MILIK PETANI,TETES PRODUKSI,tebu_terbakar_total,beban_pabrik,kristal_taksasi,plus_minus_kristal,JAM BERHENTI A,JAM BERHENTI B,TOTAL JAM BERHENTI,pol_tebu,pol_tebu_sd,k_dlm_tetes,k_dlm_tetes_sd,k_dlm_ampas,k_dlm_ampas_sd,k_dlm_blotong,k_dlm_blotong_sd,ef_ov,ef_ov_sd,k_dlm_total,k_dlm_total_sd,ef_me,ef_me_sd,ef_bhr,ef_bhr_sd,ef_or,ef_or_sd,residu,residu_rupiah,bba_ton,bba_rupiah,pln_kwh,pln_rupiah,icumsa,icumsa_sd,bjb,bjb_sd,kadar_air,kadar_air_sd,tetes_brix,tetes_brix_sd,tetes_hk,tetes_hk_sd,tetes_tsai,tetes_tsai_sd,tetes_od,tetes_od_sd,brix,pol,nilainira,analisa_trash,analisa_trash_sd,soc,soc_sd,bpp_kapur,bpp_belerang,bpp_asam_phospat,bpp_flokulan,bpp_filter_aid,karung_dipakai,karung_reject,rain
1090,SGN,SG21,10,45460,2024,0,1929.66,0,1666.87,0,2650,7.641,0,0,0,7.641,565.76,0,0,0,565.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,570.95,4.37,4.09,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670,SGN,SG21,11,45461,2024,769.14,1584.16,769.14,1584.16,2648.4,2649.93,10.426,0,0,0,10.426,768.64,0,0,0,768.64,10.362,0,0,0,10.362,769.14,0,0,0,769.14,48.61,0,0,0,48.61,6.32,0,#DIV/0!,0,6.32,0,50,0,50,13.075,0,23.075,36.15,0,569.72,4.59,5.82,16.03,1,17.03,8.65,8.61,1.77,1.55,0.5,0.65,0.08,0.08,0.02,0.09,2.36,2.36,94.27,92.5,77.24,78.41,72.81,72.53,0,0,0,0,59500,66952819,284,282,0.84,0.83,0.06,0.06,86.2,87.78,36.19,35.35,0,0,0,0,15.09,11.2,9.65,0,17.23,55.06,0,2000,1250,140,0,0,1000,0,0
1671,SGN,SG21,12,45462,2024,2419.06,1654.59,2419.06,1654.59,2649.81,2649.91,137.77,0,0,0,137.77,2251.06,0,0,0,2251.06,32.655,0,0,0,32.655,2419.06,0,0,0,2419.06,152.877,0,0,0,152.877,6.32,0,#DIV/0!,0,6.32,0,154.5,0,154.5,43.544,0,72.571,116.115,0,568.62,-1.77,1.54,2.09,0,2.09,0,0,1.46,1.54,0.63,0.64,0.08,0.08,0.01,0.08,2.18,2.34,92.62,92.51,80.28,78.64,74.35,72.75,0,0,0,0,23320,26174161,282,282,0.06,0.06,0.83,0.83,90,88.13,38.44,35.84,0,0,0,0,14.78,10.99,9.48,0,0,0,0,2500,0,0,0,0,3090,0,0
1246,SGN,SG21,13,45463,2024,2328.54,1707.02,2328.54,1707.02,2649.83,2649.91,31.653,0,0,0,31.653,2438.08,0,0,0,2438.08,140.886,0,0,0,140.886,2328.54,0,0,0,2328.54,148.56,0,0,0,148.56,6.38,0,#DIV/0!,0,6.38,0,154.5,0,154.5,41.913,0,69.857,111.77,0,562.19,1.8,6.02,1,1.91,2.91,8.45,8.58,1.38,1.52,0.63,0.64,0.09,0.08,0.01,0.07,2.11,2.32,92.59,92.52,81.03,78.89,75.03,72.99,0,0,0,0,23340,26288096,281,282,0.83,0.83,0.06,0.06,86.33,87.89,35.29,35.77,0,0,0,0,14.68,10.93,9.42,0,0,55.03,55.17,3000,1250,70,15,0,3090,0,1
1673,SGN,SG21,14,45464,2024,1260.68,1674.8,1260.68,1674.8,2649.42,2649.88,20.18,0,0,0,20.18,1421.99,0,0,0,1421.99,17.348,0,0,0,17.348,1260.68,0,0,0,1260.68,80.679,0,0,0,80.679,6.4,0,#DIV/0!,0,6.4,0,89,0,89,21.17,0,37.82,58.99,0,554.12,-5.83,2.24,0,12.58,12.58,8.57,8.58,1.42,1.51,0.65,0.64,0.09,0.08,0.01,0.07,2.17,2.31,92.43,92.52,80.79,78.99,74.68,73.08,0,0,0,0,24420,27458528,285,282,0.83,0.08,0.06,0.06,86.2,87.79,35.27,35.74,0,0,0,0,14.93,11.08,9.54,0,0,55.16,55.16,3500,1250,105,0,0,1780,0,0
1674,SGN,SG21,15,45465,2024,2346.81,1720.04,2346.81,1720.04,2650.51,2649.94,27.893,0,0,0,27.893,2224.9,0,0,0,2224.9,30.227,0,0,0,30.227,2346.81,0,0,0,2346.81,151.369,0,0,0,151.369,6.45,0,#DIV/0!,0,6.45,0,162,0,162,43.056,0,70.404,113.46,0,544.64,2.71,12.19,0,2.75,2.75,8.63,8.58,1.41,1.5,0.66,0.64,0.09,0.08,0.01,0.06,2.18,2.3,92.31,92.5,80.97,79.17,74.74,73.23,0,0,0,0,0,0,262,279,0.82,0.08,0.06,0.06,87.15,87.72,35.34,35.7,0,0,0,0,0,0,0,0,0,55.16,55.16,3000,1250,105,0,0,3240,0,1
1676,SGN,SG21,16,45466,2024,2330,1758.52,2330,1758.52,2650.24,2649.96,31.731,0,0,0,31.731,2460.24,0,0,0,2460.24,29.447,0,0,0,29.447,2330,0,0,0,2330,150.749,0,0,0,150.749,6.47,0,#DIV/0!,0,6.47,0,161,0,161,29.6,0,69.9,99.5,0,534.82,-6.64,3.17,0,2.9,2.9,8.65,8.59,1.44,1.5,0.64,0.64,0.09,0.08,0.01,0.06,2.18,2.29,92.61,92.51,80.76,79.31,74.81,73.37,0,0,0,0,49060,55124212,264,277,0.83,0.83,0.06,0.06,86.9,87.65,35.52,35.68,0,0,0,0,15.62,11.2,9.44,0,0,0,0,2000,1250,105,0,75,3220,0,1
1677,SGN,SG21,17,45467,2024,2236.73,1786.89,2236.73,1786.89,2649.63,2649.94,31.861,0,0,0,31.861,2196.59,0,0,0,2196.59,29.204,0,0,0,29.204,2236.73,0,0,0,2236.73,145.386,0,0,0,145.386,6.5,0,#DIV/0!,0,6.5,0,156,0,156,22.368,0,67.102,89.47,0,524.71,-9,1.12,0,3.74,3.74,8.7,8.6,1.43,1.49,0.67,0.65,0.09,0.09,0.01,0.06,2.2,2.28,92.24,92.49,81,79.43,74.71,73.47,0,0,0,0,23760,26609188,263,275,0.83,0.83,0.06,0.06,87.4,87.63,35.24,35.65,0,0,0,0,15.15,11.25,9.7,0,0,55,55.14,2500,1250,105,15,100,3120,0,1
1678,SGN,SG21,18,45468,2024,2444.74,1823.74,2444.74,1823.74,2650.12,2649.95,30.446,0,0,0,30.446,2372.85,0,0,0,2372.85,31.109,0,0,0,31.109,2444.74,0,0,0,2444.74,159.638,0,0,0,159.638,6.53,0,#DIV/0!,0,6.53,6.239,158.261,0,164.5,29.338,0,73.342,102.68,0,520.33,-3.16,1.22,0,1.86,1.86,8.71,8.6,1.41,1.49,0.67,0.65,0.09,0.09,0.01,0.05,2.18,2.27,92.34,92.48,81.23,79.57,75.01,73.58,0,0,0,0,25600,26609188,260,274,0.83,0.83,0.07,0.06,87.25,0,35.04,0,0,0,0,0,15.4,11.24,9.57,0,0,54.99,55.13,2000,1250,105,15,0,3290,0,1
1679,SGN,SG21,19,45469,2024,2473.68,1858.21,2473.68,1858.21,2650.37,2649.98,34.035,0,0,0,34.035,2407.63,0,0,0,2407.63,35.817,0,0,0,35.817,2473.68,0,0,0,2473.68,162.771,0,0,0,162.771,6.58,0,#DIV/0!,0,6.58,51.888,116.612,0,168.5,12.368,0,74.211,86.579,0,515.05,-4.94,0.34,1.6,0,1.6,8.68,0,1.3,1.47,0.7,0.65,0.09,0.09,0.01,0.05,2.1,2.26,91.95,92.44,82.45,79.77,75.81,73.74,0,0,0,0,25380,28784326,260,272,0.85,0.83,0.07,0.06,87.7,87.6,34.49,35.53,0,0,0,0,15.13,11.24,9.68,0,0,54.98,55.12,2000,1250,105,0,0,3370,0,0
